Instância, f(s), tempo (s)
instances_teste/att48.tsp, 10628, 1.80368
instances_teste/bayg29.tsp, 1610, 0.007836
instances_teste/bays29.tsp, 2020, 0.238564
instances_teste/berlin52.tsp, 7542, 2e-06
instances_teste/brazil58.tsp, 25395, 9.7251
instances_teste/burma14.tsp, 3323, 3e-06
instances_teste/dantzig42.tsp, 699, 0.212829
instances_teste/fri26.tsp, 937, 0.0025
instances_teste/gr17.tsp, 2085, 2e-06
instances_teste/gr21.tsp, 2707, 1e-06
instances_teste/gr24.tsp, 1272, 0.071051
instances_teste/gr48.tsp, 5046, 186.834
instances_teste/hk48.tsp, 11461, 0.198611
instances_teste/lin105.tsp, 14379, 14.4901
instances_teste/rat99.tsp, 1211, 53.8981
instances_teste/st70.tsp, 675, 21.3005
instances_teste/swiss42.tsp, 1273, 0.949663
instances_teste/ulysses16.tsp, 6859, 2e-06
instances_teste/ulysses22.tsp, 7013, 0.00699
